sequence,timestamp,pose.x,pose.y,pose.z,pose.roll,pose.pitch,pose.yaw
147,14.7,-2.3095,-7.15189,0.04344,-0.00062,0.02613,1.55635
148,14.8,-2.29869,-7.12018,0.03589,-0.00016,0.02565,1.55782
149,14.9,-2.30529,-7.14823,0.0513,-0.00073,0.02611,1.5566
150,15,-2.30757,-7.15529,0.04552,-0.00084,0.02604,1.55614
151,15.1,-2.29792,-7.11699,0.03133,0.00015,0.02567,1.55791
152,15.2,-2.30822,-7.15748,0.05335,-0.00102,0.02599,1.5561
153,15.3,-2.29707,-7.11749,0.03336,5E-05,0.02578,1.55812
154,15.4,-2.30794,-7.15192,0.04908,-0.00071,0.02627,1.55625
155,15.5,-2.3044,-7.1347,0.04669,-0.0008,0.0259,1.55748
156,15.6,-2.30404,-7.14364,0.04611,-0.00058,0.02629,1.55653
157,15.7,-2.30865,-7.14818,0.04733,-0.00046,0.02609,1.55644
158,15.8,-2.30601,-7.14475,0.04658,-0.00068,0.02588,1.55733
159,15.9,-2.3077,-7.15178,0.046,-0.00109,0.02636,1.55623
160,16,-2.29915,-7.1173,0.0309,0.00016,0.0256,1.55789
161,16.1,-2.3045,-7.14747,0.0508,-0.00062,0.02587,1.55639
162,16.2,-2.30669,-7.14421,0.04793,-0.00073,0.02626,1.55673
163,16.3,-2.30573,-7.14697,0.04531,-0.00085,0.0258,1.55677
164,16.4,-2.3085,-7.14306,0.04276,-0.00047,0.02597,1.55653
165,16.5,-2.30596,-7.14625,0.04671,-0.00087,0.02601,1.55659
166,16.6,-2.30175,-7.12854,0.03937,-0.00015,0.02584,1.55764
167,16.7,-2.30546,-7.14613,0.05043,-0.00061,0.02628,1.55649
168,16.8,-2.30378,-7.14418,0.04589,-0.00061,0.02578,1.55717
169,16.9,-2.30744,-7.15334,0.04694,-0.00075,0.02624,1.55645
170,17,-2.30161,-7.1198,0.03333,1E-05,0.02553,1.55768
171,17.1,-2.3046,-7.14549,0.04787,-0.00056,0.0257,1.55725
172,17.2,-2.30524,-7.14305,0.0498,-0.00066,0.02643,1.55687
173,17.3,-2.30525,-7.1443,0.04651,-0.00065,0.02639,1.55674
174,17.4,-2.30712,-7.14462,0.04439,-0.00056,0.02586,1.55672
175,17.5,-2.3056,-7.14325,0.04287,-0.0004,0.02613,1.55667
176,17.6,-2.3063,-7.15464,0.04739,-0.00051,0.02598,1.55634
177,17.7,-2.30003,-7.12414,0.03578,-0.00023,0.02572,1.5577
178,17.8,-2.30675,-7.14339,0.04717,-0.00049,0.02623,1.55687
179,17.9,-2.30192,-7.12732,0.03806,-0.00021,0.02579,1.55715
180,18,-2.30305,-7.14635,0.04319,-0.00045,0.02606,1.55679
181,18.1,-2.30795,-7.15053,0.05053,-0.00094,0.02624,1.55658
182,18.2,-2.29782,-7.121,0.03244,0.00014,0.02568,1.55784
